Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Urban Population,SP.URB.TOTL.IN.ZS,Mongolia,MNG,68.23,68.297,68.363,68.445,68.543,68.657,68.785
Urban Population,SP.URB.TOTL.IN.ZS,Montenegro,MNE,65.806,66.141,66.477,66.813,67.15,67.488,67.826
Urban Population,SP.URB.TOTL.IN.ZS,Morocco,MAR,60.809,61.36,61.908,62.453,62.994,63.532,64.065
Urban Population,SP.URB.TOTL.IN.ZS,Mozambique,MOZ,34.4,34.926,35.455,35.988,36.528,37.074,37.628
Urban Population,SP.URB.TOTL.IN.ZS,Myanmar,MMR,29.858,30.082,30.322,30.579,30.852,31.141,31.448
Urban Population,SP.URB.TOTL.IN.ZS,Namibia,NAM,46.9,47.961,49.005,50.032,51.042,52.033,53.005
Urban Population,SP.URB.TOTL.IN.ZS,Nauru,NRU,100,100,100,100,100,100,100
Urban Population,SP.URB.TOTL.IN.ZS,Nepal,NPL,18.557,18.942,19.336,19.74,20.153,20.576,21.008
Urban Population,SP.URB.TOTL.IN.ZS,Netherlands,NLD,90.173,90.635,91.077,91.49,91.876,92.236,92.572
Urban Population,SP.URB.TOTL.IN.ZS,New Caledonia,NCL,69.379,69.821,70.256,70.683,71.104,71.518,71.925
Urban Population,SP.URB.TOTL.IN.ZS,New Zealand,NZL,86.341,86.4,86.466,86.538,86.615,86.699,86.789
Urban Population,SP.URB.TOTL.IN.ZS,Nicaragua,NIC,57.895,58.09,58.299,58.522,58.76,59.012,59.277
Urban Population,SP.URB.TOTL.IN.ZS,Niger,NER,16.247,16.29,16.35,16.425,16.517,16.626,16.751
Urban Population,SP.URB.TOTL.IN.ZS,Nigeria,NGA,47.838,48.683,49.519,50.344,51.157,51.958,52.746
Urban Population,SP.URB.TOTL.IN.ZS,North America,NAC,81.63309202,81.80876814,81.98964009,82.17304863,82.36164753,82.55361645,82.74998062
Urban Population,SP.URB.TOTL.IN.ZS,North Macedonia,MKD,57.408,57.563,57.748,57.963,58.208,58.482,58.786
Urban Population,SP.URB.TOTL.IN.ZS,Northern Mariana Islands,MNP,91.357,91.443,91.53,91.618,91.708,91.798,91.89
Urban Population,SP.URB.TOTL.IN.ZS,Norway,NOR,81.091,81.485,81.871,82.248,82.616,82.974,83.323
Urban Population,SP.URB.TOTL.IN.ZS,Not classified,INX,,,,,,,
Urban Population,SP.URB.TOTL.IN.ZS,OECD members,OED,79.99124921,80.19155392,80.39525035,80.60107269,80.81359535,81.02774628,81.24053085
Urban Population,SP.URB.TOTL.IN.ZS,Oman,OMN,81.35,82.5,83.56,84.539,85.443,86.276,87.044
Urban Population,SP.URB.TOTL.IN.ZS,Other small states,OSS,57.55733229,57.82230111,58.10786535,58.37863133,58.60835031,58.76204142,58.90330848
Urban Population,SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,38.04409776,38.25976027,38.46854478,38.67702273,38.88279445,39.09482359,39.31228847
Urban Population,SP.URB.TOTL.IN.ZS,Pakistan,PAK,36.026,36.234,36.442,36.666,36.907,37.165,37.44
Urban Population,SP.URB.TOTL.IN.ZS,Palau,PLW,78.159,78.775,79.365,79.93,80.47,80.988,81.483
Urban Population,SP.URB.TOTL.IN.ZS,Panama,PAN,66.696,67.027,67.365,67.709,68.059,68.414,68.775
Urban Population,SP.URB.TOTL.IN.ZS,Papua New Guinea,PNG,13.012,13.05,13.102,13.169,13.25,13.345,13.456
Urban Population,SP.URB.TOTL.IN.ZS,Paraguay,PRY,60.75,61.026,61.3,61.585,61.879,62.183,62.496
Urban Population,SP.URB.TOTL.IN.ZS,Peru,PER,77.357,77.539,77.72,77.907,78.099,78.297,78.5
Urban Population,SP.URB.TOTL.IN.ZS,Philippines,PHL,46.284,46.475,46.682,46.907,47.149,47.408,47.684
Urban Population,SP.URB.TOTL.IN.ZS,Poland,POL,60.278,60.178,60.105,60.058,60.037,60.043,60.075
Urban Population,SP.URB.TOTL.IN.ZS,Portugal,PRT,63.514,64.086,64.652,65.211,65.764,66.31,66.849
Urban Population,SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,80.74378496,80.91906808,81.09823891,81.28071573,81.47287591,81.6618059,81.85057908
Urban Population,SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,39.72171823,40.27353744,40.8286445,41.38268311,41.93103194,42.47917386,43.03137965
Urban Population,SP.URB.TOTL.IN.ZS,Puerto Rico,PRI,93.624,93.602,93.587,93.578,93.576,93.581,93.592
Urban Population,SP.URB.TOTL.IN.ZS,Qatar,QAT,98.945,99.015,99.078,99.135,99.188,99.235,99.278
Urban Population,SP.URB.TOTL.IN.ZS,Romania,ROU,53.887,53.9,53.936,53.998,54.084,54.194,54.329
Urban Population,SP.URB.TOTL.IN.ZS,Russian Federation,RUS,74.05,74.164,74.292,74.433,74.587,74.754,74.934
Urban Population,SP.URB.TOTL.IN.ZS,Rwanda,RWA,17.004,17.056,17.125,17.211,17.313,17.432,17.568
Urban Population,SP.URB.TOTL.IN.ZS,Samoa,WSM,18.914,18.681,18.452,18.243,18.056,17.889,17.742
Urban Population,SP.URB.TOTL.IN.ZS,San Marino,SMR,96.739,96.91,97.072,97.226,97.368,97.499,97.62
Urban Population,SP.URB.TOTL.IN.ZS,Sao Tome and Principe,STP,70.174,71.092,71.968,72.803,73.598,74.354,75.073
Urban Population,SP.URB.TOTL.IN.ZS,Saudi Arabia,SAU,83.18,83.401,83.622,83.844,84.065,84.287,84.508
Urban Population,SP.URB.TOTL.IN.ZS,Senegal,SEN,45.862,46.296,46.74,47.192,47.653,48.122,48.6
Urban Population,SP.URB.TOTL.IN.ZS,Serbia,SRB,55.696,55.81,55.942,56.092,56.26,56.446,56.651
